"Zupa krupnik z kaszą jęczmienną";"44";"7.0";"1.2";"1.3"
"Zupa krupnik (bez mięsa)";"32";"5.0";"1.0";"1.0"
"Zupa Krupnik - Profi";"35";"4.6";"1.2";"1.2"
"Zupa krupnik";"92";"7.8";"4.3";"6.8"
"Zupa królewska HORTEX";"43";"5.0";"1.0";"2.0"
"Zupa krem ze szpinaku";"29";"5.0";"1.0";"2.0"
"Zupa krem ze szparagami - Vital Fresh";"46";"7.0";"2.0";"1.0"
"Zupa krem ze szparagami - Biedronka";"46";"6.3";"2.0";"0.6"
"Zupa krem z żółtych warzyw - Iglotex";"39";"4.9";"0.7";"1.6"
"Zupa krem z zielonych warzyw - Iglotex";"60";"7.2";"1.3";"3.4"
"Zupa krem z zielonej soczewicy";"60";"9.0";"1.0";"3.0"
"Zupa krem z zielonego ogórka";"124";"18.8";"4.8";"2.7"
"zupa krem z zielonego groszku i szparagów eat me";"54";"10.5";"1.3";"3.4"
"Zupa krem z zielonego groszku";"64";"8.4";"3.3";"2.9"
"zupa krem z warzyw z oliwą z oliwek";"38";"6.0";"1.0";"0.7"
"Zupa krem z warzyw";"54";"7.2";"1.3";"3.4"
"Zupa krem z topinamburu - Eat Me";"61";"10.0";"1.5";"1.8"
"Zupa krem z soczewicy z chili";"66";"10.0";"1.0";"4.0"
"Zupa krem z selera na kostce rosołowej";"24";"3.0";"2.0";"1.0"
"Zupa krem z selera - Pan Seler & Jabłko";"41";"5.0";"2.0";"1.0"
"Zupa krem z pora i ziemniaków";"71";"8.0";"4.0";"1.0"
"Zupa krem z pora i brokuła";"42";"5.0";"2.0";"1.0"
"Zupa krem z pora";"20";"3.0";"1.0";"1.0"
"Zupa krem z pomidorów z bazylią MARVIT";"35";"6.5";"0.2";"1.0"
"Zupa krem z pomidorów";"28";"3.7";"1.0";"0.9"
"Zupa krem z marchwii";"40";"3.0";"2.0";"1.0"
"Zupa krem z marchwi i czerwonej soczewicy";"52";"6.6";"0.7";"3.5"
"ZUPA KREM Z MARCHEWKI Z KOLENDRĄ MARWIT";"35";"5.1";"0.9";"0.7"
"Zupa krem z marchewki";"40";"4.5";"2.0";"1.0"
"Zupa krem z kury z grzankami (po przyrządzeniu) - Knorr";"38";"4.8";"1.8";"0.7"
"Zupa krem z kury (po przyrządzeniu) - Knorr";"38";"4.8";"1.8";"0.7"
"Zupa krem z kurczaka";"51";"1.0";"4.0";"3.0"
"Zupa krem z kukurydzy i kolendry - Pani Kukurydza";"56";"7.0";"2.0";"1.0"
"Zupa krem z kukurydzy i kaszy jaglanej - Biedronka";"45";"6.0";"2.0";"2.0"
"Zupa krem z kukurydzy - Vital Fresh";"76";"12.1";"2.6";"1.0"
"Zupa krem z kukurydzy";"55";"4.8";"2.0";"4.0"
"Zupa krem z kopru włoskiego";"41";"6.1";"1.5";"0.7"
"Zupa krem z kalafiora - Marwit";"29";"4.8";"0.2";"1.3"
"Zupa krem z jarzyn";"53";"7.7";"1.3";"3.0"
"Zupa krem z groszku zielonego";"48";"5.0";"2.0";"2.0"
"Zupa krem z groszku";"100";"19.0";"0.0";"7.0"
"Zupa krem z fasoli";"100";"18.0";"1.0";"6.0"
"Zupa krem z dynią i marchewką - Biedronka";"49";"5.4";"2.6";"0.4"
"Zupa krem z dyni z mleczkiem kokosowym";"66";"8.3";"3.0";"1.5"
"Zupa krem z dyni - Eat Me";"44";"9.1";"1.5";"1.5"
"Zupa krem z dyni";"38";"9.0";"0.0";"1.0"
"Zupa krem z cukinii - Vitalia";"50";"4.0";"4.0";"1.0"
"Zupa krem z cukinii";"16";"2.0";"1.0";"1.0"
"Zupa krem z ciecierzycy - Vital Fresh";"67";"10.1";"1.1";"3.4"
"Zupa krem z ciecierzycy";"67";"10.1";"1.1";"3.4"
"Zupa krem z buraków i czerwonej soczewicy";"53";"6.7";"0.7";"3.5"
"Zupa krem z buraczków z tymiankiem MARVIT";"34";"6.4";"0.1";"1.0"
"Zupa krem z buraczków - Marwit";"34";"6.4";"0.1";"1.0"
"Zupa krem z brokułów z nutą czosnku";"18";"2.1";"0.2";"1.4"
"zupa krem z brokułów Marwitt";"43";"6.8";"0.6";"1.9"
"Zupa krem z brokuła";"33";"2.8";"2.0";"1.0"
"Zupa krem z białych warzyw";"47";"8.4";"0.6";"2.4"
"Zupa krem z ziemniaków";"35";"5.7";"1.2";"0.8"
"Zupa krem warzywny - Biedronka";"38";"6.0";"1.0";"1.0"
"Zupa krem pomidorowy z pomidorem malinowym - Biedronka";"26";"4.0";"0.4";"0.9"
"Zupa krem pomidorowo-paprykowy z ciecierzycą";"54";"8.0";"1.0";"3.0"
"Zupa krem pomidorowa z bazylią Pan Pomidor";"42";"4.4";"1.5";"1.2"
"Zupa krem pomidorowa - Marwit";"35";"6.5";"0.2";"1.0"
"Zupa krem pomidorowa - Biedronka";"26";"4.0";"0.4";"0.9"
"Zupa krem paprykowo-pomidorowa";"40";"6.0";"0.3";"1.6"
"Zupa krem Pani Dynia & Cynamon - Pan Pomidor & Co";"34";"3.2";"1.5";"0.6"
"Zupa krem marchewkowa - Pani Marchew";"32";"3.0";"1.0";"1.0"
"zupa krem jarzynowa HORTEX";"43";"6.6";"0.5";"2.1"
"Zupa krem dyniowo-marchwiowa - Biedronka";"49";"5.4";"2.6";"0.4"
"Zupa krem brokułowy - Biedronka";"22";"3.0";"1.0";"1.0"
"Zupa krem (gotowe danie)";"47";"6.4";"2.3";"0.7"
"Zupa krem - Pan Burak & Chrzan";"40";"4.0";"2.0";"1.0"
"Zupa krabowa (po przyrządzeniu) - Vifon";"72";"9.0";"3.0";"1.0"
"Zupa koperkowa Eat Me";"37";"6.0";"1.0";"1.0"
"Zupa koperkowa";"33";"6.0";"0.6";"1.0"
"Zupa kokosowa z kurczkiem";"87";"5.7";"3.7";"7.3"
"Zupa kokosowa z indykiem";"70";"4.3";"2.0";"8.7"
"Zupa kokosowa";"87";"5.6";"3.7";"7.3"
"Zupa kapuśniak z młodej kapusty";"18";"3.3";"0.4";"0.6"
"Zupa Kapuśniak wegetariański";"38";"5.1";"1.5";"0.8"
"zupa kapuśniak na wędzonce";"37";"3.8";"2.0";"1.6"
"Zupa Kapuśniak na mięsie";"29";"3.1";"1.3";"1.6"
"Zupa kapuściana z filetem";"50";"15.0";"1.5";"3.0"
"Zupa kalafiorowo-brokułowa";"50";"4.0";"2.0";"4.0"
"zupa kalafiorowa zabielana";"34";"4.3";"1.4";"0.8"
"zupa kalafiorowa z ziemniakami";"63";"5.0";"2.0";"7.0"
"Zupa kalafiorowa z warzywami";"21";"2.0";"1.0";"1.0"
"Zupa kalafiorowa z pomidorami";"23";"3.4";"0.9";"0.7"
"Zupa kalafiorowa z koperkiem Mroźna Kraina - Biedronka";"35";"5.0";"0.2";"2.0"
"Zupa kalafiorowa z koperkiem - Poltino";"36";"5.4";"0.5";"1.9"
"Zupa kalafiorowa z koperkiem - Pamapol";"48";"8.4";"0.1";"1.7"
"Zupa kalafiorowa z koperkiem - Hortex";"36";"5.4";"0.5";"1.9"
"Zupa kalafiorowa domowa";"24";"4.0";"1.0";"1.0"
"Zupa kalafiorowa Chira - Lidl";"35";"5.3";"0.3";"1.6"
"Zupa kalafiorowa (mrożonka) - Nordis";"36";"5.0";"0.0";"2.0"
"Zupa kalafiorowa (mrożonka) - Hortex";"35";"5.1";"0.2";"2.0"
"Zupa kalafiorowa (krem)";"79";"6.2";"4.8";"3.0"
"Zupa kalafiorowa";"63";"4.7";"2.7";"5.7"
"Zupa jesienna warzywna (mrożonka) - Hortex";"43";"6.6";"0.5";"2.1"
"Zupa jarzynowa z ziemniakami";"43";"5.3";"1.4";"2.0"
"Zupa jarzynowa z kluseczkami lanymi";"25";"3.0";"1.0";"1.0"
"zupa jarzynowa proste historie";"72";"10.8";"0.4";"4.1"
"zupa jarzynowa MROŹNA KRAINA BIEDRONKA";"33";"4.3";"0.3";"1.9"
"Zupa jarzynowa Mroźna Kraina";"33";"4.3";"0.3";"1.9"
"Zupa jarzynowa domowa";"29";"1.0";"1.6";"3.0"
"zupa jarzynowa czysta z klopsikami z łopatki wieprzowej";"36";"2.4";"1.9";"2.4"
"Zupa jarzynowa 55g (po przyrządzeniu) - Winary";"21";"3.8";"0.2";"0.8"
"Zupa jarzynowa (mrożonka) - Wiosenny Przysmak";"31";"3.8";"0.5";"1.9"
"Zupa jarzynowa (mrożonka) - Hortex";"43";"6.6";"0.5";"2.1"
"Zupa jarzynowa (mrożonka)";"32";"3.5";"0.3";"2.1"
"Zupa jarzynowa (czysta) na mięsie wieprzowym";"30";"3.3";"1.3";"1.2"
"Zupa jarzynowa - Zielony Ogródek";"44";"6.9";"0.5";"2.0"
"Zupa jarzynowa - Profi";"35";"4.4";"1.2";"1.4"
"Zupa jarzynowa";"34";"3.9";"1.6";"1.0"
"Zupa instant ser w ziołach (po przyrządzeniu) - Knorr";"80";"9.0";"4.0";"1.5"
"Zupa Instant";"343";"76.0";"3.1";"9.0"
"Zupa Hasa al hummus";"179";"29.0";"4.5";"7.8"
"Zupa gulaszowa z makaronem Gorący Kubek (po przyrządzeniu) - Knorr";"27";"5.1";"0.5";"1.0"
"Zupa gulaszowa z indyka";"50";"5.0";"1.0";"6.0"
"zupa gulaszowa profi";"94";"5.5";"6.8";"2.5"
"Zupa Gulaszowa (po przyrządzeniu) - Amino";"85";"11.0";"3.5";"1.5"
"Zupa gulaszowa - Węgierska";"49";"3.8";"2.6";"3.1"
"Zupa gulaszowa";"51";"5.3";"1.4";"4.6"
"Zupa grzybowa zabielana";"17";"3.2";"0.2";"0.6"
"Zupa grzybowa z suszonych grzybow";"47";"9.1";"0.3";"1.9"
"zupa grzybowa Hortex";"46";"7.9";"0.5";"1.8"
"Zupa grzybowa bez przypraw FROSTA";"47";"8.0";"0.0";"2.0"
"Zupa grzybowa (mrożonka) - Hortex";"47";"8.0";"0.0";"2.0"
"Zupa grzybowa - Mroźna Kraina";"28";"2.7";"1.8";"1.0"
"Zupa grzybowa";"69";"11.0";"2.6";"0.4"
"Zupa grochowa z ziemniakami i skwarkami";"49";"6.1";"1.8";"2.1"
"zupa grochowa Winiary";"38";"5.0";"1.0";"2.0"
"Zupa grochowa Wikipedia";"61";"10.0";"1.1";"3.2"
"Zupa grochowa wg SK";"53";"6.0";"2.0";"3.0"
"Zupa grochowa wegetariańska";"77";"13.0";"1.0";"4.0"
"Zupa grochowa (po przyrządzeniu) - Culineo";"39";"5.3";"0.8";"2.1"
"Zupa grochowa (mrożonka) - Hortex";"136";"20.9";"0.5";"8.0"
"Zupa grochowa - Profi";"55";"6.7";"1.6";"3.4"
"Zupa grochowa - Hortex";"136";"20.9";"0.5";"8.0"
"Zupa grochowa";"61";"10.0";"1.1";"3.2"
"Zupa Gorący Kubek Żurek z grzankami (po przyrządzeniu) - Knorr";"38";"5.6";"1.4";"0.6"
"Zupa Gorący Kubek serowa z grzankami (po przyrządzeniu) - Knorr";"52";"5.9";"2.6";"1.2"
"Zupa Gorący Kubek Rosół z Kury Na Bogato (po przyrządzeniu) - Knorr";"48";"9.0";"0.5";"1.6"
"Zupa Gorący Kubek Pomidorowa na Bogato (po przyrządzeniu) - Knorr";"52";"9.5";"0.6";"1.9"
"Zupa Gorący Kubek Pomidorowa (po przyrządzeniu) - Knorr";"34";"6.4";"0.5";"1.2"
"Zupa Gorący Kubek ogórkowa (po przyrządzeniu) - Knorr";"25";"4.2";"0.7";"0.5"
"Zupa Gorący Kubek grochowa z grzankami (po przyrządzeniu) - Knorr";"36";"4.9";"0.8";"2.0"
"Zupa Gorący Kubek Borowikowa z grzankami (po przyrządzeniu) - Knorr";"32";"4.3";"1.4";"0.5"
"Zupa Gorący Kubek (po przyrządzeniu) - Knorr";"35";"6.0";"0.7";"0.7"
"Zupa Gołąbkowa";"61";"5.5";"3.2";"3.5"
"Zupa Gazpacho - Lidl";"37";"3.0";"2.2";"1.0"
"Zupa fasolowa z boczkiem";"222";"29.0";"5.5";"14.2"
"Zupa fasolowa (mrożonka)";"80";"7.0";"5.0";"6.0"
"Zupa fasolowa - Hortex";"80";"7.0";"0.0";"6.1"
"Zupa fasolowa - gęsta";"150";"15.0";"5.0";"10.0"
"Zupa fasolowa";"69";"7.9";"2.1";"5.2"
"Zupa farmerska - Vital fresh";"76";"12.1";"2.6";"1.0"
"Zupa farmerska";"76";"12.1";"2.6";"1.0"
"Zupa dyniowo kokosowa - Vitasia";"45";"4.7";"2.4";"0.6"
